사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
01월,합계,"17,026",1,84,5,15,760,"2,002","1,625",28,103,1,2,"9,475","1,078",719,332,482,-,-,313,1
01월,01일,419,1,3,-,-,15,54,36,-,4,-,-,243,25,17,9,7,-,-,5,-
01월,02일,460,-,-,-,-,15,55,38,1,3,-,-,262,32,25,4,17,-,-,8,-
01월,03일,474,-,2,-,1,27,62,47,-,1,-,-,253,30,23,11,9,-,-,8,-
01월,04일,478,-,4,-,2,16,61,45,1,4,-,-,256,26,28,12,16,-,-,7,-
01월,05일,541,-,3,-,2,24,60,50,-,2,-,-,306,41,22,8,13,-,-,10,-
01월,06일,509,-,3,-,1,19,54,55,4,-,-,-,287,23,20,10,18,-,-,15,-
01월,07일,351,-,5,-,-,14,46,24,2,-,-,-,207,22,8,5,10,-,-,8,-
01월,08일,606,-,1,-,-,28,70,52,-,4,-,-,335,42,33,12,13,-,-,16,-
01월,09일,632,-,3,-,-,30,71,72,2,4,-,-,352,34,24,8,20,-,-,12,-
01월,10일,723,-,4,-,-,42,70,70,-,5,-,-,439,34,19,17,16,-,-,7,-
01월,11일,633,-,2,-,-,33,70,80,1,3,-,1,345,36,34,8,11,-,-,9,-
01월,12일,708,-,3,-,-,22,81,79,2,4,-,1,401,51,27,5,20,-,-,12,-
01월,13일,558,-,2,1,-,27,52,54,1,-,-,-,331,33,15,18,15,-,-,9,-
01월,14일,461,-,1,2,-,26,72,37,1,2,-,-,247,28,13,9,17,-,-,6,-
01월,15일,638,-,1,-,-,33,77,76,1,3,-,-,317,38,38,18,21,-,-,15,-
01월,16일,567,-,3,-,1,23,82,47,1,4,1,-,302,37,38,8,11,-,-,9,-
01월,17일,638,-,2,-,1,27,83,70,3,2,-,-,349,40,21,11,15,-,-,14,-
01월,18일,535,-,1,-,-,28,58,45,1,5,-,-,304,36,29,9,9,-,-,10,-
01월,19일,597,-,5,-,-,26,75,64,1,5,-,-,322,39,23,11,13,-,-,13,-
01월,20일,561,-,5,-,1,30,73,59,-,3,-,-,301,23,17,16,20,-,-,13,-
01월,21일,392,-,3,1,-,19,46,39,-,5,-,-,201,32,14,8,12,-,-,12,-
01월,22일,580,-,4,-,-,29,66,54,-,2,-,-,325,34,27,12,17,-,-,10,-
01월,23일,566,-,1,-,-,27,74,59,2,1,-,-,310,37,22,5,19,-,-,9,-
01월,24일,561,-,3,-,-,20,62,42,1,6,-,-,306,44,27,14,20,-,-,16,-
01월,25일,542,-,2,-,1,18,60,52,-,8,-,-,298,37,26,13,17,-,-,10,-
01월,26일,626,-,4,-,1,23,74,48,-,5,-,-,352,41,29,18,22,-,-,9,-
01월,27일,531,-,4,1,1,29,66,56,1,3,-,-,282,41,19,9,14,-,-,5,-
01월,28일,393,-,4,-,-,22,51,31,-,2,-,-,215,30,9,9,13,-,-,7,-
01월,29일,528,-,-,-,2,16,51,40,1,3,-,-,299,41,28,13,22,-,-,12,-
01월,30일,631,-,4,-,-,28,70,50,1,5,-,-,369,39,20,9,24,-,-,11,1
01월,31일,587,-,2,-,1,24,56,54,-,5,-,-,359,32,24,13,11,-,-,6,-
02월,합계,"16,208",-,63,9,13,778,"1,904","1,557",31,91,-,4,"9,116",943,650,303,431,1,-,313,1
02월,01일,680,-,2,-,1,30,87,57,2,4,-,-,365,48,36,15,19,-,-,14,-
02월,02일,645,-,3,-,2,27,82,59,-,2,-,-,357,38,28,16,13,-,-,18,-
02월,03일,728,-,4,-,-,38,83,78,1,3,-,-,419,37,19,15,19,-,-,12,-
02월,04일,522,-,6,-,-,26,72,56,-,-,-,-,289,31,14,8,14,-,-,6,-
02월,05일,624,-,-,1,-,25,74,56,1,3,-,1,331,52,33,9,28,-,-,10,-
02월,06일,637,-,2,-,1,18,78,59,1,5,-,1,373,31,31,12,11,-,-,14,-
02월,07일,690,-,1,-,1,29,77,83,1,2,-,-,375,46,28,9,23,-,-,15,-
02월,08일,723,-,2,-,3,41,85,80,1,4,-,-,406,32,31,13,19,-,-,6,-
02월,09일,754,-,2,2,-,37,88,85,1,7,-,-,414,45,31,15,16,-,-,11,-
02월,10일,553,-,2,-,-,26,64,48,1,2,-,1,325,24,15,11,21,1,-,12,-
02월,11일,473,-,4,-,1,20,43,28,-,5,-,-,293,33,19,8,9,-,-,10,-
02월,12일,753,-,2,-,1,45,81,94,2,8,-,-,404,40,29,14,22,-,-,11,-
02월,13일,784,-,2,-,-,30,98,89,3,6,-,-,447,43,29,12,11,-,-,14,-
02월,14일,736,-,1,2,-,28,76,67,1,3,-,-,433,35,36,20,21,-,-,12,1
02월,15일,434,-,2,-,1,29,53,33,2,1,-,-,264,17,8,5,12,-,-,7,-
02월,16일,341,-,5,-,1,22,41,39,3,2,-,1,184,17,6,6,12,-,-,2,-
