사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
06월,26일,605,-,-,-,2,25,58,58,-,2,-,-,351,39,23,11,21,-,-,15,-
06월,27일,612,-,3,-,2,27,79,49,-,3,-,-,337,37,25,15,26,-,-,9,-
06월,28일,587,-,1,-,3,23,63,63,3,8,-,-,321,43,27,6,18,-,-,8,-
06월,29일,586,-,3,1,-,23,59,57,2,3,-,-,321,48,22,14,24,-,-,9,-
06월,30일,681,-,2,-,2,37,77,68,-,7,-,1,366,41,16,21,29,-,-,14,-
07월,합계,"18,158",-,78,10,37,887,"1,968","1,713",40,112,-,11,"10,138","1,207",576,322,607,1,-,447,4
07월,01일,605,-,-,-,1,32,58,62,2,3,-,-,344,41,13,8,23,-,-,17,1
07월,02일,489,-,3,-,-,28,58,45,-,2,-,1,281,29,10,9,10,-,-,13,-
07월,03일,607,-,1,-,-,29,64,53,-,4,-,-,345,38,16,13,23,-,-,21,-
07월,04일,565,-,3,-,1,26,51,57,2,4,-,-,334,36,21,8,12,-,-,9,1
07월,05일,606,-,1,-,-,28,73,66,-,7,-,1,324,31,15,11,22,-,-,26,1
07월,06일,553,-,2,-,-,28,54,54,1,1,-,-,314,42,17,12,20,-,-,7,1
07월,07일,664,-,1,1,2,35,66,60,-,2,-,1,347,59,31,16,23,-,-,20,-
07월,08일,590,-,3,-,1,27,79,57,-,4,-,-,336,29,17,10,19,-,-,8,-
07월,09일,464,-,4,1,1,20,51,43,2,4,-,-,252,41,11,6,19,-,-,9,-
07월,10일,585,-,2,-,2,25,60,54,2,1,-,-,333,41,27,8,16,-,-,14,-
07월,11일,609,-,1,-,3,19,48,60,2,5,-,-,359,29,36,14,20,-,-,13,-
07월,12일,629,-,4,-,1,34,65,54,2,2,-,-,364,29,21,14,25,1,-,13,-
07월,13일,574,-,2,1,1,33,69,57,1,2,-,-,322,34,16,10,12,-,-,14,-
07월,14일,614,-,3,-,1,27,60,62,6,4,-,-,324,43,26,16,24,-,-,18,-
07월,15일,605,-,3,1,1,37,64,49,1,5,-,1,343,38,17,14,17,-,-,14,-
07월,16일,506,-,8,-,1,30,58,47,2,1,-,2,275,35,10,11,15,-,-,11,-
07월,17일,608,-,3,1,-,26,61,58,-,4,-,1,345,41,20,9,20,-,-,19,-
07월,18일,536,-,-,-,1,21,56,48,-,2,-,-,322,31,21,11,16,-,-,7,-
07월,19일,597,-,1,1,2,32,76,46,-,3,-,1,334,33,20,6,24,-,-,18,-
07월,20일,599,-,1,2,1,31,77,54,-,4,-,-,332,42,15,10,15,-,-,15,-
07월,21일,648,-,1,-,-,28,66,71,2,8,-,-,353,47,22,10,18,-,-,22,-
07월,22일,647,-,4,-,4,36,68,76,1,3,-,-,333,54,13,9,29,-,-,17,-
07월,23일,459,-,2,-,2,28,52,43,2,4,-,-,258,30,14,4,14,-,-,6,-
07월,24일,576,-,4,-,2,22,59,50,1,6,-,-,324,49,20,11,16,-,-,12,-
07월,25일,631,-,2,-,1,25,78,53,1,3,-,1,357,56,15,8,19,-,-,12,-
07월,26일,660,-,4,1,-,27,70,62,1,4,-,-,377,40,26,10,25,-,-,13,-
07월,27일,639,-,1,-,1,34,65,63,3,10,-,-,342,39,19,9,35,-,-,18,-
07월,28일,657,-,5,1,1,29,76,66,1,-,-,2,347,42,23,16,29,-,-,19,-
07월,29일,608,-,5,-,4,32,67,55,4,1,-,-,342,43,14,11,15,-,-,15,-
07월,30일,441,-,-,-,1,25,53,28,1,6,-,-,259,22,6,9,14,-,-,17,-
07월,31일,587,-,4,-,1,33,66,60,-,3,-,-,316,43,24,9,18,-,-,10,-
08월,합계,"18,682",1,59,11,29,845,"2,088","1,817",45,140,-,5,"10,453","1,250",589,312,581,-,1,456,-
08월,01일,570,-,3,-,-,23,65,63,1,3,-,1,307,42,18,11,16,-,-,17,-
08월,02일,553,-,2,-,-,29,58,42,2,10,-,-,300,37,26,10,19,-,-,18,-
08월,03일,624,-,2,-,3,25,80,62,3,5,-,-,342,35,22,7,20,-,-,18,-
08월,04일,655,-,2,2,2,30,64,57,3,4,-,-,374,48,16,18,22,-,-,13,-
08월,05일,616,-,4,-,1,37,58,67,-,5,-,-,348,46,12,12,13,-,-,13,-
08월,06일,463,-,2,2,-,19,58,39,1,7,-,-,257,44,5,6,14,-,-,9,-
08월,07일,592,-,3,-,1,19,60,57,-,6,-,1,359,38,8,8,19,-,-,13,-
