사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
01월,합계,"16,552",-,96,5,30,681,"2,110","1,656",34,96,1,2,"8,812","1,101",734,316,522,-,-,356,-
01월,01일,352,-,2,-,1,21,51,21,1,1,-,-,199,21,10,3,10,-,-,11,-
01월,02일,514,-,3,1,-,19,71,58,-,4,-,-,266,31,21,11,19,-,-,10,-
01월,03일,497,-,1,-,2,17,76,44,-,2,-,-,256,38,20,11,19,-,-,11,-
01월,04일,541,-,3,-,-,15,63,55,1,4,-,-,287,40,28,6,21,-,-,18,-
01월,05일,507,-,3,-,-,25,62,51,3,2,-,-,281,21,18,8,16,-,-,17,-
01월,06일,355,-,2,-,1,10,54,28,2,2,-,-,198,23,10,8,13,-,-,4,-
01월,07일,525,-,5,-,-,20,64,71,1,1,-,-,261,33,29,12,18,-,-,10,-
01월,08일,542,-,6,-,1,23,50,58,1,5,-,-,293,42,27,11,16,-,-,9,-
01월,09일,540,-,2,-,1,24,70,47,4,2,-,-,296,30,24,10,24,-,-,6,-
01월,10일,533,-,3,1,2,20,65,46,2,5,1,-,290,32,22,16,14,-,-,14,-
01월,11일,592,-,1,-,-,18,67,62,1,2,-,-,323,35,35,17,17,-,-,14,-
01월,12일,549,-,3,-,1,25,81,45,1,3,-,-,313,30,20,4,14,-,-,9,-
01월,13일,400,-,6,-,2,19,61,35,-,1,-,-,220,25,8,6,10,-,-,7,-
01월,14일,553,-,5,-,-,23,71,63,2,3,-,-,288,34,19,14,16,-,-,15,-
01월,15일,519,-,4,-,1,20,71,46,1,1,-,-,285,30,22,6,20,-,-,12,-
01월,16일,577,-,4,-,3,26,79,68,-,6,-,-,291,42,24,13,9,-,-,12,-
01월,17일,572,-,3,-,2,24,65,67,3,3,-,-,288,42,44,5,17,-,-,9,-
01월,18일,635,-,4,-,1,30,82,71,1,5,-,-,307,55,27,17,22,-,-,13,-
01월,19일,505,-,-,-,1,25,67,58,-,4,-,-,259,40,16,9,22,-,-,4,-
01월,20일,449,-,1,-,1,27,58,35,-,3,-,-,254,32,9,9,13,-,-,7,-
01월,21일,551,-,6,1,2,15,69,57,2,4,-,-,295,37,28,11,12,-,-,12,-
01월,22일,579,-,2,1,2,20,84,66,-,3,-,-,295,35,34,10,9,-,-,18,-
01월,23일,550,-,-,-,-,23,64,47,1,1,-,-,304,39,26,10,21,-,-,14,-
01월,24일,575,-,-,-,-,19,65,72,1,4,-,-,285,49,36,9,19,-,-,16,-
01월,25일,612,-,5,-,1,21,89,64,-,3,-,-,329,43,24,8,11,-,-,14,-
01월,26일,582,-,6,-,-,20,76,66,-,5,-,-,313,30,17,12,20,-,-,17,-
01월,27일,391,-,2,-,1,21,59,29,2,1,-,1,209,19,16,6,17,-,-,8,-
01월,28일,663,-,4,-,2,28,79,65,2,2,-,-,365,46,30,9,14,-,-,17,-
01월,29일,603,-,3,-,1,29,71,61,-,6,-,1,303,38,32,22,27,-,-,9,-
01월,30일,581,-,1,1,1,23,52,54,1,2,-,-,331,46,26,13,22,-,-,8,-
01월,31일,608,-,6,-,-,31,74,46,1,6,-,-,328,43,32,10,20,-,-,11,-
02월,합계,"14,752",-,84,4,28,594,"1,897","1,477",48,96,2,4,"7,926","1,002",514,287,483,-,-,304,2
02월,01일,717,-,4,-,3,34,94,52,3,3,-,-,387,48,40,11,15,-,-,23,-
02월,02일,563,-,2,-,2,26,57,58,-,5,-,-,317,43,18,10,15,-,-,10,-
02월,03일,494,-,4,1,1,23,76,33,3,4,-,-,264,27,19,12,17,-,-,10,-
02월,04일,352,-,1,-,3,12,44,32,1,5,-,1,203,25,10,3,8,-,-,4,-
02월,05일,346,-,-,-,1,20,48,46,3,-,-,-,179,18,6,7,9,-,-,9,-
02월,06일,346,-,4,-,2,21,39,32,2,6,-,-,169,31,8,13,17,-,-,2,-
02월,07일,523,-,5,1,-,14,67,50,2,3,-,-,273,32,25,12,28,-,-,11,-
02월,08일,505,-,3,-,2,20,65,59,1,2,-,-,276,24,15,9,16,-,-,13,-
02월,09일,442,-,6,-,1,13,58,49,1,2,-,-,240,41,10,3,8,-,-,10,-
02월,10일,350,-,-,-,-,17,59,27,1,2,-,-,202,19,7,1,11,-,-,4,-
02월,11일,532,-,3,-,1,20,53,63,6,2,-,-,280,41,30,10,13,-,-,10,-
02월,12일,514,-,1,-,-,23,75,48,1,2,1,-,267,39,17,12,16,-,-,11,1
02월,13일,560,-,2,-,1,18,76,55,1,4,-,1,290,39,22,10,26,-,-,15,-
02월,14일,564,-,4,-,-,22,68,59,4,4,-,-,309,32,19,12,18,-,-,13,-
02월,15일,675,-,3,-,-,26,82,67,3,2,-,-,378,48,22,15,17,-,-,12,-
02월,16일,599,-,2,-,1,26,81,70,2,6,-,-,323,36,13,9,17,-,-,13,-
02월,17일,455,-,4,-,1,19,69,58,-,2,-,-,224,27,10,15,22,-,-,4,-
02월,18일,557,-,1,1,1,22,71,54,3,3,-,-,297,36,19,9,24,-,-,16,-
02월,19일,531,-,1,-,-,24,64,46,-,4,-,1,293,36,18,9,25,-,-,10,-
02월,20일,547,-,2,1,1,22,75,55,1,6,-,-,286,41,21,7,18,-,-,10,1
02월,21일,619,-,3,-,-,23,88,71,2,4,-,-,323,44,25,6,17,-,-,13,-
02월,22일,600,-,5,-,1,21,71,51,-,1,-,1,355,37,20,13,14,-,-,10,-
02월,23일,595,-,2,-,3,22,82,63,-,4,-,-,308,39,22,15,21,-,-,14,-
02월,24일,439,-,5,-,1,18,58,34,2,1,-,-,254,30,8,9,12,-,-,7,-
02월,25일,590,-,5,-,-,25,62,68,2,6,-,-,319,45,25,12,14,-,-,7,-
02월,26일,557,-,3,-,1,21,59,63,2,3,1,-,296,45,21,14,18,-,-,10,-
02월,27일,562,-,6,-,1,20,75,44,2,4,-,-,297,40,21,15,23,-,-,14,-
02월,28일,618,-,3,-,-,22,81,70,-,6,-,-,317,39,23,14,24,-,-,19,-
03월,합계,"18,133",1,95,10,27,744,"2,273","1,781",47,136,7,4,"9,972","1,175",607,304,539,1,-,410,-
03월,01일,472,-,-,-,1,28,43,53,2,2,1,-,268,29,13,7,12,-,-,13,-
03월,02일,499,-,4,1,-,18,60,57,-,8,1,-,277,28,11,5,11,-,-,18,-
03월,03일,380,-,1,-,-,12,47,39,-,4,1,-,231,16,4,7,12,-,-,6,-
03월,04일,530,-,3,-,3,20,52,52,5,2,-,-,286,34,27,6,22,-,-,18,-
03월,05일,505,-,6,-,-,26,43,57,-,4,-,-,297,29,13,7,12,-,-,11,-
03월,06일,571,-,5,-,-,18,67,49,2,8,-,1,319,41,13,15,24,-,-,9,-
03월,07일,605,-,3,-,-,33,71,59,1,2,-,-,327,41,32,5,13,-,-,18,-
03월,08일,714,-,1,-,1,28,80,80,2,10,-,-,382,50,33,16,13,-,-,18,-
03월,09일,630,-,4,-,-,25,85,56,2,7,-,-,346,47,19,7,21,-,-,11,-
03월,10일,482,-,3,1,2,23,63,45,2,2,-,-,277,29,17,9,8,-,-,1,-
03월,11일,584,-,2,-,2,25,60,57,4,7,-,-,303,47,27,9,19,-,-,22,-
03월,12일,591,-,2,1,1,23,83,62,1,5,-,-,312,36,17,11,21,-,-,16,-
03월,13일,645,-,3,-,-,25,97,52,4,3,1,1,345,38,28,8,26,-,-,14,-
03월,14일,626,-,2,-,1,19,72,72,3,7,-,-,346,51,12,13,16,-,-,12,-
03월,15일,714,-,5,-,2,18,90,70,1,2,-,-,391,47,34,15,31,-,-,8,-
03월,16일,605,-,5,-,-,28,77,61,1,5,-,-,333,36,21,9,17,-,-,12,-
03월,17일,495,-,3,1,-,19,61,47,-,4,-,-,277,37,11,9,16,-,-,10,-
03월,18일,565,-,3,-,-,23,87,52,-,4,-,-,302,39,18,13,14,-,-,10,-
03월,19일,539,-,3,-,-,28,71,53,1,4,-,-,298,26,16,10,18,-,-,11,-
03월,20일,720,-,3,1,1,28,105,77,1,8,1,-,378,36,27,11,25,1,-,17,-
03월,21일,631,-,2,1,-,22,98,65,-,7,-,-,326,41,22,13,16,-,-,18,-
03월,22일,636,-,3,1,2,27,72,75,2,2,-,1,353,32,19,12,18,-,-,17,-
03월,23일,619,-,2,-,2,20,81,54,-,3,-,-,357,37,18,17,18,-,-,10,-
03월,24일,507,-,5,-,-,27,65,51,2,3,-,-,273,22,12,11,22,-,-,14,-
03월,25일,602,-,2,-,1,27,78,42,4,5,-,-,330,50,24,7,13,-,-,19,-
03월,26일,623,-,2,-,-,21,74,67,1,1,-,-,340,52,21,12,17,-,-,15,-
03월,27일,570,-,4,-,2,23,74,52,1,2,1,-,319,30,19,6,24,-,-,13,-
03월,28일,625,-,-,1,1,19,91,58,1,5,-,-,351,51,15,7,16,-,-,9,-
03월,29일,700,-,6,1,4,31,88,60,3,4,-,-,388,48,29,9,15,-,-,14,-
03월,30일,690,1,4,-,-,44,78,65,1,5,1,1,381,48,21,13,17,-,-,10,-
03월,31일,458,-,4,1,1,16,60,42,-,1,-,-,259,27,14,5,12,-,-,16,-
04월,합계,"19,104",-,77,9,36,774,"2,388","1,835",47,157,6,2,"10,350","1,345",715,348,609,-,-,404,2
04월,01일,672,-,4,-,-,29,90,74,-,7,2,-,345,39,34,13,20,-,-,15,-
