사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
04월,02일,660,-,2,-,1,24,81,70,5,8,-,-,348,47,22,10,19,-,-,23,-
04월,03일,611,-,5,-,3,16,72,44,1,1,-,-,355,47,27,13,19,-,-,8,-
04월,04일,661,-,1,-,1,24,90,65,-,4,-,-,350,43,40,14,17,-,-,11,1
04월,05일,691,-,-,-,5,29,87,68,3,9,-,-,343,45,35,23,29,-,-,15,-
04월,06일,634,-,3,-,1,27,76,56,-,5,-,-,371,48,10,14,10,-,-,13,-
04월,07일,503,-,6,2,-,24,68,44,-,7,-,-,271,35,10,8,18,-,-,10,-
04월,08일,633,-,2,-,3,27,88,56,1,5,-,-,336,34,29,16,27,-,-,9,-
04월,09일,736,-,2,-,-,31,92,82,2,2,-,-,386,48,39,17,21,-,-,14,-
04월,10일,622,-,-,2,2,23,76,54,-,2,-,-,328,68,30,7,22,-,-,8,-
04월,11일,587,-,1,-,1,29,65,58,1,8,-,-,320,36,22,5,26,-,-,15,-
04월,12일,664,-,2,-,3,20,76,73,-,6,-,-,350,63,29,12,15,-,-,15,-
04월,13일,681,-,1,-,-,24,80,78,1,7,-,-,377,49,15,11,25,-,-,13,-
04월,14일,444,-,2,-,2,25,62,30,2,5,-,-,247,31,12,6,13,-,-,7,-
04월,15일,697,-,2,1,-,36,82,77,2,7,-,-,355,53,27,8,28,-,-,19,-
04월,16일,684,-,4,-,1,31,78,73,1,9,-,-,348,53,29,22,20,-,-,15,-
04월,17일,645,-,5,-,1,27,70,66,2,9,-,-,344,44,27,12,24,-,-,14,-
04월,18일,623,-,4,-,2,19,91,54,1,4,-,1,341,45,22,9,17,-,-,13,-
04월,19일,704,-,3,-,-,26,99,61,1,3,-,-,374,44,31,20,28,-,-,14,-
04월,20일,672,-,3,-,1,25,93,59,1,7,-,1,382,42,13,10,20,-,-,14,1
04월,21일,469,-,1,-,-,28,60,29,-,7,-,-,267,33,13,10,17,-,-,4,-
04월,22일,687,-,3,-,2,25,78,77,1,4,-,-,375,52,27,10,21,-,-,12,-
04월,23일,635,-,2,-,1,24,75,49,2,2,-,-,373,46,22,9,16,-,-,14,-
04월,24일,654,-,5,-,1,25,80,69,1,7,2,-,361,32,16,9,27,-,-,19,-
04월,25일,687,-,4,-,-,36,86,57,4,3,1,-,386,40,34,7,13,-,-,16,-
04월,26일,709,-,2,1,1,29,84,65,3,5,1,-,388,55,26,14,20,-,-,15,-
04월,27일,693,-,-,2,-,32,85,69,4,3,-,-,386,46,17,10,18,-,-,21,-
04월,28일,485,-,2,-,1,19,62,41,1,1,-,-,271,37,9,10,22,-,-,9,-
04월,29일,624,-,4,-,2,23,88,56,4,4,-,-,327,45,23,8,23,-,-,17,-
04월,30일,637,-,2,1,1,17,74,81,3,6,-,-,345,45,25,11,14,-,-,12,-
05월,합계,"20,779",-,121,10,45,818,"2,475","1,974",63,137,5,2,"11,425","1,467",681,379,670,-,2,505,-
05월,01일,563,-,4,1,1,27,66,48,-,1,-,-,312,46,17,6,21,-,-,13,-
05월,02일,696,-,2,-,-,27,86,61,3,3,-,-,385,47,30,14,20,-,-,18,-
05월,03일,740,-,5,-,2,21,89,81,1,3,-,-,396,53,40,9,24,-,-,16,-
05월,04일,672,-,2,-,1,28,89,64,2,4,1,-,357,52,19,15,18,-,-,20,-
05월,05일,600,-,3,-,2,31,71,49,3,7,-,-,325,40,13,12,30,-,-,14,-
05월,06일,589,-,2,-,2,31,76,56,2,2,-,-,310,45,22,10,21,-,-,10,-
05월,07일,710,-,3,-,2,23,92,68,2,6,-,-,386,41,26,12,28,-,-,21,-
05월,08일,676,-,4,-,2,32,90,71,1,3,-,-,332,54,28,14,27,-,-,18,-
05월,09일,649,-,3,-,-,18,71,65,2,8,-,-,359,46,27,9,17,-,1,23,-
05월,10일,726,-,1,-,2,31,93,82,6,5,-,-,376,49,29,12,26,-,-,14,-
05월,11일,724,-,4,-,1,34,76,75,5,3,-,-,382,56,20,16,26,-,-,26,-
05월,12일,538,-,2,-,4,31,55,36,-,3,-,-,334,31,6,6,19,-,-,11,-
05월,13일,616,-,6,-,-,21,72,62,-,4,-,-,346,46,16,13,17,-,-,13,-
05월,14일,665,-,3,-,2,27,61,50,1,5,-,-,381,55,13,19,26,-,-,22,-
05월,15일,680,-,4,2,2,24,88,66,3,6,-,-,381,36,24,11,11,-,-,22,-
05월,16일,699,-,1,-,1,29,87,73,-,6,-,-,382,50,24,15,17,-,-,14,-
05월,17일,707,-,5,-,-,27,80,71,3,2,-,-,405,38,28,12,21,-,-,15,-
05월,18일,661,-,2,-,-,23,92,71,3,1,1,-,360,38,22,14,22,-,-,12,-
05월,19일,579,-,4,1,1,19,87,52,2,5,-,-,330,41,9,5,14,-,-,9,-
05월,20일,683,-,3,-,3,26,52,67,3,7,-,1,391,44,27,10,31,-,-,18,-
05월,21일,718,-,5,1,1,25,74,80,1,4,1,1,397,67,15,12,19,-,-,15,-
05월,22일,697,-,1,1,1,30,84,71,-,6,-,-,370,53,34,7,26,-,-,13,-
05월,23일,697,-,7,-,3,27,85,67,1,7,-,-,380,45,16,18,25,-,-,16,-
05월,24일,760,-,7,1,1,28,88,58,2,7,-,-,431,57,30,12,23,-,1,14,-
05월,25일,685,-,4,-,3,27,81,55,1,3,1,-,406,43,17,13,19,-,-,12,-
05월,26일,534,-,2,1,-,23,78,51,2,2,-,-,293,37,9,9,19,-,-,8,-
05월,27일,630,-,4,-,2,23,80,63,3,4,-,-,347,39,18,15,21,-,-,11,-
05월,28일,764,-,4,1,1,21,75,75,2,6,1,-,432,67,26,12,15,-,-,26,-
05월,29일,713,-,6,-,2,27,86,58,1,4,-,-,386,63,26,16,18,-,-,20,-
05월,30일,637,-,9,1,1,30,87,55,5,6,-,-,330,37,20,17,24,-,-,15,-
05월,31일,771,-,9,-,2,27,84,73,3,4,-,-,423,51,30,14,25,-,-,26,-
06월,합계,"18,968",-,98,12,26,839,"2,230","1,842",49,131,5,5,"10,476","1,254",565,365,611,1,-,459,-
06월,01일,611,-,9,1,-,27,75,49,5,6,-,-,351,36,12,6,19,-,-,15,-
06월,02일,482,-,-,1,-,25,65,50,1,1,-,1,259,33,12,11,16,-,-,7,-
06월,03일,603,-,2,1,2,24,67,73,2,4,-,-,330,42,19,10,12,-,-,15,-
06월,04일,672,-,3,-,-,39,84,65,1,3,1,-,351,47,29,10,16,-,-,23,-
06월,05일,747,-,3,-,2,35,85,75,-,2,-,-,414,38,23,19,26,-,-,25,-
06월,06일,629,-,3,-,1,27,77,56,4,-,1,-,361,36,14,13,20,-,-,16,-
06월,07일,650,-,3,-,-,35,76,67,1,4,-,-,334,44,26,16,30,-,-,14,-
06월,08일,636,-,5,-,1,31,61,66,2,7,-,-,360,40,6,21,26,-,-,10,-
06월,09일,450,-,3,-,1,25,57,37,1,4,-,-,251,29,10,11,12,-,-,9,-
06월,10일,646,-,1,-,1,33,79,62,2,6,-,-,327,59,26,11,22,-,-,17,-
06월,11일,621,-,4,1,-,26,57,61,-,5,-,-,345,45,30,12,15,-,-,20,-
06월,12일,605,-,2,-,-,23,92,57,3,7,-,1,317,41,17,7,23,-,-,15,-
06월,13일,614,-,4,1,2,20,60,65,2,2,-,-,353,42,20,14,16,-,-,13,-
06월,14일,682,-,1,1,2,33,78,64,-,5,1,-,371,52,19,14,25,-,-,16,-
06월,15일,717,-,3,-,2,42,78,65,4,3,1,1,407,41,24,8,17,-,-,21,-
06월,16일,501,-,3,1,-,34,76,40,3,3,-,-,259,32,9,11,20,-,-,10,-
06월,17일,670,-,5,-,-,29,82,66,1,6,-,-,376,44,16,8,17,-,-,20,-
06월,18일,643,-,5,-,2,23,77,73,3,2,-,-,350,39,26,5,22,-,-,16,-
06월,19일,624,-,2,1,-,16,74,67,-,6,1,-,356,35,17,10,20,-,-,19,-
06월,20일,651,-,2,-,1,28,73,69,-,7,-,-,363,34,25,12,22,-,-,15,-
06월,21일,728,-,4,-,1,22,73,78,3,8,-,-,410,50,20,18,20,-,-,21,-
06월,22일,698,-,3,-,-,38,88,67,-,2,-,-,390,43,19,9,22,-,-,17,-
06월,23일,574,-,3,-,1,17,87,52,2,2,-,2,332,21,11,12,16,-,-,16,-
06월,24일,697,-,1,-,-,23,77,71,-,8,-,-,384,49,22,17,32,1,-,12,-
06월,25일,713,-,4,1,1,30,87,73,3,6,-,-,375,48,25,15,25,-,-,20,-
06월,26일,696,-,3,2,2,32,82,60,2,4,-,-,382,53,24,17,20,-,-,13,-
06월,27일,646,-,2,1,2,24,72,45,1,4,-,-,375,46,19,18,28,-,-,9,-
06월,28일,697,-,5,-,1,20,78,68,2,7,-,-,400,52,15,12,23,-,-,14,-
06월,29일,633,-,4,-,1,38,69,62,1,5,-,-,349,46,17,11,19,-,-,11,-
06월,30일,432,-,6,-,-,20,44,39,-,2,-,-,244,37,13,7,10,-,-,10,-
07월,합계,"19,234",-,77,11,34,787,"2,358","1,876",48,147,4,2,"10,468","1,284",639,350,675,-,-,474,-
07월,01일,658,-,3,-,2,26,59,73,2,4,-,-,356,56,16,11,24,-,-,26,-
07월,02일,586,-,1,-,-,24,70,55,1,1,-,-,318,36,29,12,25,-,-,14,-
07월,03일,605,-,2,-,3,19,77,57,1,9,-,-,329,37,18,16,24,-,-,13,-
07월,04일,636,-,2,2,-,21,92,61,3,10,-,-,319,46,32,16,18,-,-,14,-
07월,05일,677,-,5,3,-,30,73,67,3,5,-,-,352,61,19,13,33,-,-,13,-
07월,06일,698,-,3,-,2,30,89,66,4,7,-,-,391,43,14,11,23,-,-,15,-
07월,07일,493,-,2,1,-,20,63,43,-,2,1,-,273,34,15,10,15,-,-,14,-
07월,08일,601,-,4,1,3,16,72,60,2,4,-,-,340,36,22,13,13,-,-,15,-
07월,09일,631,-,1,-,2,29,82,70,1,4,-,-,332,51,13,10,23,-,-,13,-
07월,10일,704,-,2,-,-,25,95,68,2,7,-,-,369,41,37,14,29,-,-,15,-
07월,11일,611,-,2,-,1,25,76,57,1,4,-,-,341,45,20,11,17,-,-,11,-
07월,12일,704,-,2,-,3,28,92,76,3,6,-,-,366,51,32,12,21,-,-,12,-
07월,13일,576,-,2,-,-,27,74,47,1,3,-,-,320,37,12,6,28,-,-,19,-
07월,14일,491,-,-,-,-,22,62,43,3,8,-,-,260,35,15,9,27,-,-,7,-
07월,15일,622,-,2,-,1,37,66,55,2,10,-,1,312,54,27,6,21,-,-,28,-
07월,16일,611,-,3,2,1,22,85,48,2,6,-,-,344,37,20,8,22,-,-,11,-
07월,17일,631,-,3,-,-,30,89,70,-,3,-,1,322,39,23,9,21,-,-,21,-
07월,18일,606,-,1,-,1,23,71,59,1,3,-,-,349,38,16,18,13,-,-,13,-
07월,19일,720,-,1,-,1,31,85,82,1,5,-,-,396,45,16,21,22,-,-,14,-
07월,20일,623,-,4,-,-,25,70,65,4,3,-,-,332,44,25,12,27,-,-,12,-
07월,21일,478,-,6,-,-,17,61,44,1,5,-,-,274,34,6,6,15,-,-,9,-
07월,22일,704,-,3,-,2,25,80,65,1,1,1,-,404,56,16,3,29,-,-,18,-
07월,23일,652,-,1,-,-,31,71,83,1,2,-,-,349,35,17,14,25,-,-,23,-
07월,24일,649,-,5,-,3,23,84,53,2,3,-,-,377,36,30,3,17,-,-,13,-
07월,25일,615,-,-,-,1,22,85,61,1,4,1,-,322,39,29,12,25,-,-,13,-
07월,26일,627,-,3,2,2,30,75,56,-,8,-,-,327,47,31,9,15,-,-,22,-
07월,27일,648,-,1,-,2,28,86,66,1,5,1,-,332,50,17,22,20,-,-,17,-
07월,28일,419,-,1,-,-,12,45,38,1,3,-,-,248,26,10,13,15,-,-,7,-
07월,29일,645,-,1,-,1,27,87,72,3,3,-,-,345,34,25,11,16,-,-,20,-
07월,30일,650,-,8,-,3,27,74,50,-,3,-,-,381,27,19,13,24,-,-,21,-
07월,31일,663,-,3,-,-,35,68,66,-,6,-,-,388,34,18,6,28,-,-,11,-
08월,합계,"19,992",-,77,14,43,842,"2,360","1,944",58,133,2,4,"11,097","1,443",528,363,645,1,-,433,5
08월,01일,657,-,4,-,1,32,89,50,2,1,-,-,369,50,22,8,16,-,-,13,-
08월,02일,687,-,2,-,3,29,69,65,-,7,-,1,398,41,15,14,26,-,-,17,-
08월,03일,548,-,1,-,2,24,51,57,2,4,-,-,303,42,9,17,19,-,-,17,-
08월,04일,501,-,1,1,1,25,64,49,2,4,-,1,288,30,4,8,15,-,-,7,1
08월,05일,654,-,4,-,2,30,75,68,6,4,-,-,344,56,16,8,27,-,-,14,-
08월,06일,671,-,-,1,1,24,83,67,-,5,-,-,359,60,13,16,32,1,-,8,1
08월,07일,647,-,2,1,1,34,94,45,3,5,-,1,331,57,23,11,28,-,-,11,-
08월,08일,635,-,-,1,3,31,71,59,1,4,1,-,348,57,14,7,22,-,-,15,1
08월,09일,725,-,3,1,2,27,88,88,2,7,-,-,383,48,24,11,22,-,-,19,-
08월,10일,666,-,2,1,-,31,79,80,3,1,-,-,360,36,16,20,18,-,-,19,-
08월,11일,505,-,1,1,-,25,69,50,4,2,-,-,283,35,12,6,10,-,-,7,-
08월,12일,699,-,1,1,2,22,90,79,1,6,-,-,387,54,13,15,16,-,-,12,-
08월,13일,688,-,3,-,2,26,76,68,1,7,-,-,373,51,22,17,32,-,-,10,-
08월,14일,774,-,4,-,3,29,93,73,5,8,-,-,417,61,23,13,30,-,-,15,-
08월,15일,520,-,3,-,1,24,62,40,-,3,-,-,305,38,11,7,14,-,-,12,-
08월,16일,677,-,3,-,2,19,84,60,-,5,-,-,378,48,27,11,25,-,-,15,-
08월,17일,645,-,2,-,-,26,75,53,-,5,-,-,379,53,13,9,15,-,-,15,-
08월,18일,458,-,-,-,1,23,63,41,3,2,-,-,258,33,8,6,13,-,-,7,-
08월,19일,605,-,2,-,1,23,58,56,-,2,-,-,345,47,18,12,21,-,-,20,-
08월,20일,640,-,1,-,-,22,73,63,5,3,-,1,354,47,16,14,20,-,-,21,-
08월,21일,688,-,4,-,1,32,92,64,5,3,-,-,369,45,17,15,23,-,-,18,-
08월,22일,679,-,5,-,-,26,74,72,1,5,-,-,381,48,19,10,22,-,-,16,-
08월,23일,705,-,4,1,2,28,79,68,2,3,-,-,401,51,14,8,28,-,-,16,-
08월,24일,632,-,2,-,3,33,80,71,-,5,-,-,338,40,15,13,16,-,-,15,1
08월,25일,523,-,2,-,2,21,67,47,1,2,-,-,296,26,13,12,16,-,-,18,-
08월,26일,692,-,3,-,1,26,69,74,2,6,-,-,378,45,29,22,24,-,-,13,-
08월,27일,642,-,2,-,2,33,77,62,1,5,-,-,360,47,21,9,12,-,-,11,-
08월,28일,634,-,4,-,2,25,75,47,2,6,1,-,360,51,24,9,18,-,-,9,1
08월,29일,667,-,3,1,-,31,73,73,-,2,-,-,381,38,27,7,19,-,-,12,-
08월,30일,800,-,7,1,1,25,83,79,3,6,-,-,469,53,19,17,24,-,-,13,-
08월,31일,728,-,2,3,1,36,85,76,1,5,-,-,402,55,11,11,22,-,-,18,-
09월,합계,"19,331",-,81,11,30,760,"2,355","1,756",60,137,5,8,"10,776","1,265",658,341,635,1,1,451,-
09월,01일,508,-,4,1,-,33,63,40,2,4,1,2,265,42,16,7,17,-,-,11,-
09월,02일,728,-,4,-,-,30,94,74,1,8,-,-,402,45,16,13,20,-,-,21,-
09월,03일,704,-,3,-,1,24,83,72,1,3,1,2,394,34,36,9,34,-,-,7,-
09월,04일,667,-,2,-,-,30,80,49,1,4,-,1,377,44,35,9,23,-,-,12,-
09월,05일,685,-,1,-,-,23,94,61,1,6,-,-,375,55,28,7,23,-,-,11,-
09월,06일,710,-,2,-,2,22,84,59,2,3,-,-,411,49,20,17,22,-,-,17,-
09월,07일,494,-,-,1,1,23,74,32,1,4,-,-,272,34,10,10,15,-,-,17,-
09월,08일,512,-,4,-,2,15,61,36,1,4,-,-,292,40,8,5,22,-,1,21,-
09월,09일,753,-,1,-,-,27,86,94,2,3,-,-,407,55,21,17,23,-,-,17,-
09월,10일,824,-,1,2,1,24,103,63,6,5,-,-,456,55,43,13,32,-,-,20,-
09월,11일,844,-,9,-,1,31,84,80,-,3,2,1,500,47,25,17,33,-,-,11,-
09월,12일,536,-,1,-,1,31,62,44,3,8,-,-,297,33,16,7,17,1,-,15,-
09월,13일,432,-,2,-,-,20,50,50,2,3,-,-,227,32,5,8,18,-,-,15,-
09월,14일,421,-,3,-,2,15,53,34,1,4,-,-,247,30,8,5,11,-,-,8,-
09월,15일,449,-,1,-,-,19,58,55,4,3,-,-,237,37,9,7,8,-,-,11,-
09월,16일,649,-,-,-,2,20,73,52,2,5,-,-,351,46,41,13,27,-,-,17,-
09월,17일,676,-,1,-,-,17,70,82,1,5,-,-,377,35,30,16,26,-,-,16,-
09월,18일,695,-,2,-,1,25,86,68,2,10,-,-,380,58,22,9,15,-,-,17,-
09월,19일,647,-,3,2,5,28,66,37,2,4,-,-,374,44,25,12,24,-,-,21,-
09월,20일,694,-,3,1,1,26,98,64,3,4,-,-,367,48,28,15,16,-,-,20,-
09월,21일,718,-,5,1,-,31,86,61,3,5,-,-,415,45,21,15,18,-,-,12,-
09월,22일,490,-,5,-,-,20,66,39,3,2,-,1,293,16,9,5,22,-,-,9,-
09월,23일,648,-,3,-,4,29,87,74,3,5,-,-,321,39,25,19,21,-,-,18,-
09월,24일,741,-,2,1,1,24,91,62,2,4,-,-,426,48,27,12,22,-,-,19,-
09월,25일,678,-,-,-,1,18,89,68,3,9,-,-,373,45,28,12,18,-,-,14,-
09월,26일,647,-,2,1,1,20,70,60,1,4,-,-,379,37,26,10,18,-,-,18,-
09월,27일,739,-,7,-,1,35,99,69,1,6,-,-,399,44,24,9,25,-,-,20,-
